year,syndicate,managing_agent,syndicate_cob,harmonised_lob,aggregate_lob,gross_written_premium,gross_earned_premium,gross_incurred,operating_expenses,gross_uw_result,net_uw_result,unit,currency,gross_loss_ratio,gross_expense_ratio,gross_combined_ratio,net_uw_margin
2025,5886,Blenheim,Third party liability,Third party liability,Casualty,77194.0,42569.0,-21978.0,-17842.0,2749.0,-224.0,1000,GBP,51.63,41.91,93.54,-0.53
2025,609,Atrium,Third party liability,Third party liability,Casualty,194729.0,195370.0,-74336.0,-85804.0,35230.0,13996.0,1000,GBP,38.05,43.92,81.97,7.16
2025,727,Meacock,Third party liability,Third party liability,Casualty,18169.0,18624.0,-16516.0,-7371.0,-5263.0,-5269.0,1000,GBP,88.68,39.58,128.26,-28.29
2025,1919,Starr,Assistance,Third party liability,Casualty,0.0,0.0,0.0,0.0,0.0,0.0,1000,GBP,,,,
2025,2689,Asta,Assistance,Third party liability,Casualty,0.0,0.0,0.0,0.0,0.0,0.0,1000,GBP,,,,
2025,1084,Chaucer,Credit and suretyship,Pecuniary loss,Casualty,92788.6363636364,64165.1515151515,-19611.3636363636,-35290.1515151515,9263.63636363636,-4163.63636363636,1000,GBP,30.56,55.0,85.56,-6.49
2025,1183,Talbot,Credit and suretyship,Pecuniary loss,Casualty,75177.2727272727,68900.0,-24371.9696969697,-8964.39393939394,35563.6363636364,14945.4545454545,1000,GBP,35.37,13.01,48.38,21.69
2025,1274,Antares,Credit and suretyship,Pecuniary loss,Casualty,11355.303030303,10804.5454545455,-2550.75757575758,-3366.66666666667,4887.12121212121,3605.30303030303,1000,GBP,23.61,31.16,54.77,33.37
2025,1414,Ascot,Credit and suretyship,Pecuniary loss,Casualty,28715.1515151515,28872.7272727273,-4699.24242424242,-10405.303030303,13768.1818181818,3977.27272727273,1000,GBP,16.28,36.04,52.32,13.78
2025,1458,RenaissanceRe,Credit and suretyship,Pecuniary loss,Casualty,7204.54545454545,6515.90909090909,-4552.27272727273,-771.212121212121,1192.42424242424,521.969696969697,1000,GBP,69.86,11.84,81.7,8.01
2025,1729,Dale,Credit and suretyship,Pecuniary loss,Casualty,15918.9393939394,13443.9393939394,-4079.54545454545,-5291.66666666667,4072.72727272727,6412.87878787879,1000,GBP,30.34,39.36,69.7,47.7
2025,1796,Asta,Credit and suretyship,Pecuniary loss,Casualty,55.3030303030303,33.3333333333333,-5.3030303030303,-6.06060606060606,21.969696969697,22.7272727272727,1000,GBP,15.91,18.18,34.09,68.18
2025,1856,IQUW,Credit and suretyship,Pecuniary loss,Casualty,20147.7272727273,18464.3939393939,-268.939393939394,-5865.90909090909,12329.5454545455,9632.57575757576,1000,GBP,1.46,31.77,33.23,52.17
2025,1919,Starr,Credit and suretyship,Pecuniary loss,Casualty,12042.4242424242,9069.69696969697,-9495.45454545454,-2582.57575757576,-3008.33333333333,-2536.36363636364,1000,GBP,104.69,28.47,133.16,-27.97
2025,1967,WR Berkley,Credit and suretyship,Pecuniary loss,Casualty,8218.18181818182,11281.0606060606,-5831.06060606061,-3469.69696969697,1980.30303030303,-260.606060606061,1000,GBP,51.69,30.76,82.45,-2.31
