year,syndicate,reporting_currency,reporting_unit,syndicate_cob,gross_written_premium,gross_earned_premium,gross_claims_incurred,operating_expenses,ri_balance,source
2025,4020,GBP,1,Accident and Health,60914000.0,41402000.0,-22290000.0,-18735000.0,-582000.0,2025 AR
2025,4141,USD,1,Accident and Health,37379000.0,48131000.0,-18007000.0,-24836000.0,185000.0,2025 AR
2025,4242,USD,1,Accident and Health,8163000.0,4990000.0,-2245000.0,-1401000.0,-317000.0,2025 AR
2025,435,USD,1,Accident and Health,637000.0,598000.0,1065000.0,-93000.0,1000.0,2025 AR
2025,4444,USD,1,Accident and Health,275097000.0,266746000.0,-144850000.0,-115523000.0,-11945000.0,2025 AR
2025,4472,GBP,1,Accident and Health,13692000.0,12324000.0,-3958000.0,-6478000.0,-1433000.0,2025 AR
2025,457,GBP,1,Accident and Health,612000.0,597000.0,-329000.0,-191000.0,-16000.0,2025 AR
2025,4747,GBP,1,Accident and Health,3866000.0,3544000.0,-2317000.0,-1880000.0,-130000.0,2025 AR
2025,5000,GBP,1,Accident and Health,9790000.0,9851000.0,-1702000.0,-1198000.0,-2538000.0,2025 AR
2025,510,GBP,1,Accident and Health,35554000.0,27496000.0,-11076000.0,-16395000.0,235000.0,2025 AR
2025,5886,GBP,1,Accident and Health,16364000.0,18110000.0,-10946000.0,-7162000.0,-829000.0,2025 AR
2025,609,GBP,1,Accident and Health,43288000.0,38532000.0,-13879000.0,-18787000.0,-2845000.0,2025 AR
2025,6131,GBP,1,Accident and Health,2000.0,2000.0,-125000.0,-2000.0,-4000.0,2025 AR
2025,727,GBP,1,Accident and Health,2078000.0,2078000.0,-1574000.0,-522000.0,-15000.0,2025 AR
2015,1084,GBP,1000000,Accident and health,0.4,0.4,-8.3,-0.2,0.1,2016 AR
2016,1084,GBP,1000000,Accident and health,7.8,4.9,-1.0,-1.8,-0.3,2016 AR
2017,1084,GBP,1000000,Accident and health,14.1,10.0,-4.5,-3.8,-3.3,2018 AR
2018,1084,GBP,1000000,Accident and health,24.8,21.1,-11.6,-9.5,0.1,2018 AR
2019,1084,USD,1000000,Accident and health,12.6,20.0,-11.2,-5.6,-2.7,2020 AR
2020,1084,USD,1000000,Accident and health,5.6,8.6,-7.1,-2.2,-1.3,2020 AR
2021,1084,USD,1000000,Accident and health,3.2,4.0,-1.5,-1.8,-1.2,2021 AR
2022,1084,USD,1000000,Accident and health,9.9,8.1,-7.1,-4.6,1.6,2022 AR
2023,1084,USD,1000000,Accident and health,0.9,6.0,-5.2,-2.9,-1.8,2023 AR
2024,1084,USD,1000,Accident and health,2114.0,3999.0,-1293.0,-405.0,-286.0,2024 AR
2024,1110,GBP,1000,Accident and health,42.0,42.0,-3218.0,-418.0,2784.0,2024 AR
2015,1183,USD,1000000,Accident and health,18.7,19.4,-12.5,-11.1,0.0,2016 AR
2016,1183,USD,1000000,Accident and health,17.3,18.1,-11.5,-9.6,-0.1,2016 AR
2017,1183,USD,1000000,Accident and health,14.0,16.7,-10.8,-9.5,0.1,2018 AR
2018,1183,USD,1000000,Accident and health,8.1,9.8,-4.3,-5.0,0.0,2018 AR
2019,1183,USD,1000000,Accident and health,5.5,5.2,-1.5,-3.0,-0.1,2020 AR
2020,1183,USD,1000000,Accident and health,7.5,7.1,-4.1,-3.9,-0.1,2020 AR
2021,1183,USD,1000000,Accident and health,7.1,7.1,-3.2,-4.0,0.0,2021 AR
2022,1183,USD,1000000,Accident and health,7.1,7.1,-2.8,-3.8,0.0,2022 AR
2023,1183,USD,1000000,Accident and health,8.7,7.8,-3.3,-6.2,0.4,2023 AR
2024,1183,USD,1000,Accident and health,11928.0,11228.0,-2872.0,-8560.0,772.0,2024 AR
2015,1200,GBP,1000000,Accident and health,18.1,16.2,-11.9,-5.1,-2.4,2016 AR
2016,1200,GBP,1000000,Accident and health,33.8,31.0,-20.8,-12.3,-1.2,2016 AR
2017,1200,GBP,1000000,Accident and health,39.7,38.9,-21.0,-13.7,-4.3,2018 AR
2018,1200,GBP,1000000,Accident and health,43.3,42.0,-20.9,-13.1,-5.5,2018 AR
2019,1200,GBP,1000000,Accident and health,29.8,38.5,-19.9,-13.3,-3.2,2020 AR
2020,1200,GBP,1000000,Accident and health,15.5,19.3,-18.3,-7.2,0.9,2020 AR
2021,1200,GBP,1000000,Accident and health,10.7,13.8,-7.6,-6.1,-0.7,2021 AR
2022,1200,GBP,1000000,Accident and health,8.9,11.3,-7.2,-5.1,0.1,2022 AR
2023,1200,GBP,1000000,Accident and health,6.1,6.9,-4.7,-2.5,0.0,2023 AR
2024,1200,GBP,1000,Accident and health,9300.0,9290.0,-4865.0,-3225.0,-913.0,2024 AR
2015,1206,GBP,1000,Accident and health,29930.0,29569.0,-16103.0,-990.0,-14077.0,2016 AR
2016,1206,GBP,1000,Accident and health,29797.0,29566.0,-15053.0,-13145.0,-920.0,2016 AR
2015,1209,GBP,1000,Accident and health,-24.0,-24.0,4236.0,8.0,-1592.0,2016 AR
2024,1274,USD,1000,Accident and health,17581.0,13514.0,-4474.0,-5952.0,-647.0,2024 AR
2015,1301,GBP,1000,Accident and health,5683.0,4022.0,-1903.0,-2453.0,-713.0,2016 AR
2016,1301,GBP,1000,Accident and health,9140.0,9558.0,-4219.0,-4424.0,-1051.0,2016 AR
2017,1301,GBP,1000,Accident and health,8233.0,7305.0,-3361.0,-2656.0,-1078.0,2018 AR
2018,1301,GBP,1000,Accident and health,10255.0,9124.0,-5471.0,-3153.0,-1705.0,2018 AR
2019,1301,GBP,1000,Accident and health,9519.0,9470.0,-7901.0,-3562.0,-1198.0,2020 AR
2020,1301,GBP,1000,Accident and health,9103.0,8717.0,-17148.0,-3671.0,3514.0,2020 AR
2021,1301,USD,1000,Accident and health,9369.0,11347.0,-964.0,-4848.0,-2373.0,2021 AR
2022,1301,USD,1000,Accident and health,438.0,2115.0,4152.0,343.0,-399.0,2022 AR
2017,1414,GBP,1000,Accident and health,18555.0,16302.0,-7794.0,-8471.0,-949.0,2018 AR
2018,1414,GBP,1000,Accident and health,32117.0,26722.0,-15449.0,-15592.0,936.0,2018 AR
2019,1414,GBP,1000,Accident and health,28631.0,29692.0,-17872.0,-16091.0,1939.0,2020 AR
2020,1414,GBP,1000,Accident and health,17497.0,20171.0,-14911.0,-10120.0,3349.0,2020 AR
2021,1414,GBP,1000,Accident and health,10492.0,13626.0,-12498.0,-5977.0,2999.0,2021 AR
2022,1414,GBP,1000,Accident and health,10701.0,10189.0,-9405.0,-16081.0,5594.0,2022 AR
2023,1414,GBP,1000,Accident and health,14008.0,12752.0,-6700.0,-5584.0,117.0,2023 AR
2024,1414,USD,1000,Accident and health,21817.0,20506.0,-3504.0,-7940.0,-3870.0,2024 AR
2021,1618,USD,1000000,Accident and health,2.8,1.3,-0.6,-0.6,-0.2,2021 AR
2022,1618,USD,1000000,Accident and health,4.7,4.1,-2.0,-1.4,-0.7,2022 AR
2023,1618,USD,1000000,Accident and health,9.7,9.5,-5.1,-4.1,-1.2,2023 AR
2024,1618,USD,1000,Accident and health,4166.0,5479.0,-1241.0,-2016.0,-1182.0,2024 AR
2015,1686,USD,1000,Accident and health,4.0,2.0,-1.0,0.0,0.0,2016 AR
2016,1686,USD,1000,Accident and health,43.0,11.0,-8.0,-6.0,1.0,2016 AR
2017,1686,USD,1000,Accident and health,26.0,18.0,-16.0,-4.0,2.0,2018 AR
2018,1686,USD,1000,Accident and health,10.0,16.0,0.0,0.0,-3.0,2018 AR
2019,1686,USD,1000,Accident and health,15068.0,8553.0,-3738.0,-5209.0,-74.0,2020 AR
2020,1686,USD,1000,Accident and health,24961.0,20592.0,-7199.0,-8975.0,-1272.0,2020 AR
2021,1686,USD,1000,Accident and health,41189.0,37897.0,-19047.0,-17892.0,-1098.0,2021 AR
2022,1686,USD,1000,Accident and health,61105.0,59246.0,-31997.0,-22185.0,-1829.0,2022 AR
2023,1686,USD,1000,Accident and health,75605.0,76060.0,-47190.0,-31463.0,-692.0,2023 AR
2024,1686,USD,1000,Accident and health,82463.0,73299.0,-39100.0,-1949.0,-31363.0,2024 AR
2017,1729,GBP,1000,Accident and health,215.0,92.0,-53.0,-15.0,-4.0,2018 AR
2018,1729,GBP,1000,Accident and health,2709.0,1021.0,-909.0,-393.0,-38.0,2018 AR
2019,1729,GBP,1000,Accident and health,4061.0,2929.0,-1446.0,-424.0,-1469.0,2020 AR
2020,1729,GBP,1000,Accident and health,3954.0,2982.0,-2326.0,-798.0,-107.0,2020 AR
2021,1729,GBP,1000,Accident and health,2887.0,3181.0,-688.0,-867.0,96.0,2021 AR
2022,1729,GBP,1000,Accident and health,4763.0,4258.0,-2366.0,-1299.0,262.0,2022 AR
2023,1729,USD,1000,Accident and health,13322.0,13654.0,-4018.0,-3191.0,-635.0,2023 AR
2024,1729,USD,1000,Accident and health,12590.0,11221.0,-9128.0,-3089.0,88.0,2024 AR
2024,1856,USD,1000,Accident and health,661.0,391.0,-98.0,-98.0,-65.0,2024 AR
2015,1861,GBP,1000,Accident and health,18389.0,17993.0,-7958.0,-8938.0,-1111.0,2016 AR
2016,1861,GBP,1000,Accident and health,18029.0,19776.0,-8192.0,-10219.0,-787.0,2016 AR
2017,1861,GBP,1000,Accident and health,12359.0,15156.0,-8954.0,-5573.0,-1629.0,2018 AR
2018,1861,GBP,1000,Accident and health,40691.0,27952.0,-14665.0,-10974.0,-1722.0,2018 AR
2019,1861,GBP,1000,Accident and health,41998.0,41383.0,-28195.0,-16733.0,-1969.0,2020 AR
