managing_agent,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Hartford,,,,,,,,373509.5,414640.4,432687.0,458538.0
Hiscox,1279106.6098039215,1620454.5222222223,1607448.2170542616,1759439.253731345,1967888.359375,1879097.1875,1708904.275362324,1885552.096774198,2108102.8225806435,2064433.59375,2109471.1111111147
IQUW,,,,,,,509202.9,903408.3,1149167.6,1356980.125,1479054.222222222
Inigo,,,,,,,310869.202898551,638040.403225806,880900.967741935,1046867.1875,1162747.40740741
Lancashire,,,,,,377906.875,,,,,
Lancashire Re,,,,,,,458628.188405797,615311.451612903,699774.032258065,699167.1875,661986.666666666
Liberty,1150915.03267974,1364000.0,1656899.2248062,1386343.28358209,1322109.375,1364687.5,1423800.0,1617900.0,1696500.0,1753408.0,1644281.0
Lime,,,,,,,,,,,71063.0
MAP,153830.19999999998,176367.80000000002,184445.80000000002,196206.69999999998,245117.19999999998,345537.0,407306.9,574307.9,740323.8,852438.0,712400.0
MS Amlin,1653900.0,1830700.0,2082200.0,2372200.0,2084600.0,1370000.0,1339700.0,1576800.0,1748700.0,1769448.0,2128422.0
Markel,429029.0,485835.2,564549.6,515092.4,543105.6,521869.7,482648.0,623630.8,701536.2,785467.0,927483.0
Marketform,210413.4,,,,,,,,,,
Meacock,67774.4,59568.8,63113.3,73069.9,74897.1,95271.2,92023.9,122769.5,115238.0,115445.0,107903.0
Mitsui,370288.2,,,,,,,,,,
Munich Re,436113.9,356238.1,423450.3,523223.8,568614.8,740256.0,900577.1,1044820.9,1212592.5,1373467.0,1197602.0
Navigator,,,,,,,320921.7,,,,
Navigators,272476.1,339893.3,366765.6,332382.2,358647.2,302451.5,,,,,
Neon,,160178.7,225675.9,405073.1,435443.4,72175.5,,,,,
Nephila,,,,,375934.84375,403981.640625,480480.434782609,510286.9354838714,446913.22580645175,649792.1875,720937.0370370371
Newline,95784.4,100411.6,135683.9,152457.0,175239.6,210064.0,257684.5,268650.3,255477.3,280526.0,313186.0
Novae,789300.0,941500.0,,,,,,,,,
Pembroke,333680.3,521837.0,616426.3,667162.6,560786.1000000001,489613.8,,,,,
Polo,,,,,,,,2507.4,99356.3,14436.75,322289.85185185156
Polo WDS,,,,,,,,,2717.7,,
Premia,,,,,,,9970.2,168965.6,59915.8,8304.0,-1495.0
ProSight,211509.8,245024.1,,,,,,,,,
Probitas,,,,,,,168526.2,210873.7,288242.8,339297.96875,420046.18518518517
QBE,1326562.9,1400730.0,1526591.8,1542252.4,1568000.0,1809800.0,1895600.0,2272300.0,2640100.0,2907455.0,3191839.0
