year,syndicate,managing_agent,syndicate_cob,harmonised_lob,aggregate_lob,gross_written_premium,gross_earned_premium,gross_incurred,operating_expenses,gross_uw_result,net_uw_result,unit,currency
2024,5886,Blenheim,Motor (other classes),Motor,Motor,8162.0,8556.0,-5375.0,-2847.0,334.0,-602.0,1000,GBP
2024,609,Atrium,Motor (other classes),Motor,Motor,18431.0,17399.0,-8139.0,-12926.0,-3666.0,-3355.0,1000,GBP
2024,727,S.A. Meacock,Motor (other classes),Motor,Motor,7988.0,8716.0,-5515.0,-4031.0,-830.0,-830.0,1000,GBP
2024,1699,Asta (Volante),Motor (third party liability),Motor,Motor,8962.0,8648.0,-3392.0,-986.0,4270.0,2001.0,1000,GBP
2024,2001,MS Amlin,Motor (third party liability),Motor,Motor,13190.0,14982.0,-8867.0,-5571.0,544.0,927.0,1000,GBP
2024,2012,Arch,Motor (third party liability),Motor,Motor,0.0,0.0,0.0,0.0,0.0,0.0,1000,GBP
2024,2015,SCOR,Motor (third party liability),Motor,Motor,0.0,0.0,0.0,0.0,0.0,0.0,1000,GBP
2024,2121,Argenta,Motor (third party liability),Motor,Motor,4504.0,3802.0,-2808.0,-1400.0,-406.0,-379.0,1000,GBP
2024,218,IQUW,Motor (third party liability),Motor,Motor,137925.0,279823.0,-91434.0,-78698.0,109691.0,44403.0,1000,GBP
2024,2232,Allied World,Motor (third party liability),Motor,Motor,526.0,391.0,-955.0,-83.0,-647.0,-647.0,1000,GBP
2024,2791,MAP,Motor (third party liability),Motor,Motor,-25.0,157.0,-173.0,-60.0,-76.0,-83.0,1000,GBP
2024,2999,QBE,Motor (third party liability),Motor,Motor,17487.0,18947.0,-10670.0,-6040.0,2237.0,-313.0,1000,GBP
2024,3000,Markel,Motor (third party liability),Motor,Motor,0.0,0.0,0.0,0.0,0.0,0.0,1000,GBP
2024,4020,Ark,Motor (third party liability),Motor,Motor,151.0,183.0,69.0,-66.0,186.0,197.0,1000,GBP
2024,4747,Asta (Carbon),Motor (third party liability),Motor,Motor,595.0,318.0,-137.0,-78.0,103.0,103.0,1000,GBP
2024,609,Atrium,Motor (third party liability),Motor,Motor,4096.0,4037.0,-1981.0,-1655.0,401.0,99.0,1000,GBP
2024,727,S.A. Meacock,Motor (third party liability),Motor,Motor,1075.0,786.0,-891.0,-295.0,-400.0,-400.0,1000,GBP
2024,1200,Westfield,Pecuniary loss,Pecuniary loss,MAT,35865.0,36249.0,-14008.0,-8079.0,14162.0,-2379.0,1000,GBP
2024,1699,Asta (Volante),Pecuniary loss,Pecuniary loss,MAT,1.0,1.0,-13.0,0.0,-12.0,-11.0,1000,GBP
2024,2786,Asta (Everest),Pecuniary loss,Pecuniary loss,MAT,345.0,431.0,1099.0,-419.0,1111.0,-253.0,1000,GBP
2024,4711,Aspen,Pecuniary loss,Pecuniary loss,MAT,45764.0,40239.0,-27904.0,-13437.0,-1102.0,380.0,1000,GBP
2024,4747,Asta (Carbon),Pecuniary loss,Pecuniary loss,MAT,1024.0,492.0,-130.0,-135.0,227.0,227.0,1000,GBP
2024,1176,Chaucer,Reinsurance acceptances,Reinsurance,Reinsurance,22470.0,22309.0,-1642.0,-5440.0,15227.0,14140.0,1000,GBP
2024,1200,Westfield,Reinsurance acceptances,Reinsurance,Reinsurance,262307.0,230083.0,-123622.0,-71072.0,35389.0,9688.0,1000,GBP
2024,1218,Newline,Reinsurance acceptances,Reinsurance,Reinsurance,76066.0,77860.0,-40733.0,-28076.0,9051.0,5707.0,1000,GBP
2024,1221,Hartford,Reinsurance acceptances,Reinsurance,Reinsurance,70145.0,64009.0,-39797.0,-15356.0,8856.0,3864.0,1000,GBP
2024,1225,AEGIS,Reinsurance acceptances,Reinsurance,Reinsurance,130575.0,129589.0,-61415.0,-32528.0,35646.0,62872.0,1000,GBP
2024,1492,Probitas,Reinsurance acceptances,Reinsurance,Reinsurance,81486.0,74294.0,-41238.0,-24453.0,8603.0,6721.0,1000,GBP
2024,1699,Asta (Volante),Reinsurance acceptances,Reinsurance,Reinsurance,73811.0,83565.0,-50049.0,-30016.0,3500.0,-1121.0,1000,GBP
2024,1880,Tokio Marine Kiln,Reinsurance acceptances,Reinsurance,Reinsurance,37515.0,36863.0,-14324.0,-3090.0,19449.0,17601.0,1000,GBP
2024,1892,Asta (MPS),Reinsurance acceptances,Reinsurance,Reinsurance,0.0,0.0,89.0,-8.0,81.0,81.0,1000,GBP
2024,1902,Asta (MCI SiaB),Reinsurance acceptances,Reinsurance,Reinsurance,13704.0,10773.0,-1685.0,-3822.0,5266.0,7646.0,1000,GBP
