Synd,Year,Currency,Unit,Investment Return,Financial Investment_Cost,Financial Investment_FairValue,Asset Return,link
2003,2025,GBP,1000," 123,055 "," 2,235,078 "," 2,122,035 ", 0.05506 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/f8906840-ab3b-4a48-9709-09719a22c6cc/2003_Accounts_2025Q4_20260220_152517.html
2003,2024,GBP,1000," 68,150 "," 2,412,424 "," 2,210,023 ", 0.02825 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/f8906840-ab3b-4a48-9709-09719a22c6cc/2003_Accounts_2025Q4_20260220_152517.html
457,2025,GBP,1000," 73,466 "," 2,012,269 "," 2,003,646 ", 0.03651 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/1850a109-d842-46a8-b0c5-57854f33a0ff/0457_Accounts_2025Q4_20260220_140455.html
457,2024,GBP,1000," 49,522 "," 1,667,042 "," 1,670,742 ", 0.02971 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/1850a109-d842-46a8-b0c5-57854f33a0ff/0457_Accounts_2025Q4_20260220_140455.html
1458,2025,USD,1000," 57,656 "," 1,361,259 "," 1,395,222 ", 0.04235 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/6aaf3530-cb40-4775-bd7f-5f593dee72d3/1458_Accounts_2025Q4_20260219_170931.html
1458,2024,USD,1000," 36,274 "," 1,141,439 "," 1,141,117 ", 0.03178 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/6aaf3530-cb40-4775-bd7f-5f593dee72d3/1458_Accounts_2025Q4_20260219_170931.html
1910,2025,USD,1000," 34,505 "," 1,107,366 "," 1,125,730 ", 0.03116 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/25672d32-527e-4268-bc5f-417b394bb00d/1910_Accounts_2025Q4_20260219_131624.html
1910,2024,USD,1000," 31,601 "," 1,021,100 "," 1,034,210 ", 0.03095 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/25672d32-527e-4268-bc5f-417b394bb00d/1910_Accounts_2025Q4_20260219_131624.html
1301,2025,USD,1000," 74,137 "," 1,628,116 "," 1,646,503 ", 0.04554 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/2b7f4a34-93b8-4ff7-bf44-6187b71ac276/1301_Accounts_2025Q4_20260226_142358.html
1301,2024,USD,1000," 45,231 "," 1,165,995 "," 1,172,861 ", 0.03879 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/2b7f4a34-93b8-4ff7-bf44-6187b71ac276/1301_Accounts_2025Q4_20260226_142358.html
3623,2025,USD,1000," 36,684 "," 849,786 "," 861,393 ", 0.04317 ,https://assets.lloyds.com/media-651c0e64-c1d0-4f97-90f7-883c69fe2ef2/5682df64-672b-480e-88e3-2d265bc40181/3623_Accounts_2025Q4_20260220_211725.html
